Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
233,0.0001747585339090971,0.8889,82.48,76.45,82.40,77.13,96.28,76.46,73.33,88.60,100.00
234,0.00017417494632216137,0.8793,82.45,76.58,82.49,77.28,96.30,76.24,73.75,88.60,100.00
235,0.00017359014765675742,0.8844,82.42,76.27,82.60,77.24,96.37,76.22,73.33,88.35,94.12
236,0.000173004153945436,0.8926,82.40,76.41,82.54,77.03,96.44,76.22,72.50,88.26,94.12
237,0.00017241698125351087,0.8805,82.41,76.41,82.63,77.17,96.41,76.16,72.29,88.51,100.00
238,0.00017182864567861784,0.8820,82.52,76.14,82.74,77.49,96.39,76.31,73.33,88.76,100.00
239,0.00017123916335027393,0.8868,82.64,76.23,82.85,77.85,96.44,76.42,73.54,88.84,100.00
240,0.000170648550429435,0.8784,82.58,76.05,82.71,77.67,96.50,76.39,73.54,88.68,100.00
241,0.0001700568231080525,0.8832,82.53,76.18,82.26,77.81,96.50,76.39,72.92,88.68,100.00
242,0.00016946399760863,0.8793,82.40,76.32,82.21,77.38,96.43,76.23,73.54,88.10,100.00
243,0.00016887009018377795,0.8832,82.45,76.14,82.26,76.99,96.57,76.38,73.96,88.43,100.00
244,0.0001682751171157684,0.8762,82.36,76.27,82.37,76.99,96.50,76.15,73.12,88.18,100.00
245,0.0001676790947160886,0.8859,82.37,76.14,82.21,76.99,96.55,76.20,73.33,88.43,100.00
246,0.00016708203932499368,0.8827,82.42,75.92,82.63,76.88,96.57,76.18,73.54,88.84,100.00
247,0.00016648396731105882,0.8797,82.37,76.10,82.51,77.31,96.48,76.01,73.12,88.76,100.00
248,0.0001658848950707304,0.8712,82.45,76.36,82.60,77.46,96.44,76.07,73.33,88.84,100.00
249,0.00016528483902787647,0.8869,82.39,76.63,82.46,77.56,96.46,75.88,73.33,88.60,100.00
250,0.00016468381563333658,0.8747,82.43,76.76,82.54,77.38,96.57,75.93,72.71,88.76,100.00
251,0.00016408184136447075,0.8929,82.40,76.54,82.37,77.38,96.50,76.09,71.88,88.60,100.00
252,0.00016347893272470752,0.8835,82.46,76.63,82.80,77.28,96.46,76.18,71.25,88.43,94.12
253,0.00016287510624309192,0.8792,82.34,76.32,82.43,77.10,96.41,76.13,71.88,88.35,100.00
254,0.00016227037847383187,0.8836,82.35,76.10,82.49,77.24,96.46,76.09,72.29,88.43,100.00
