Epoch,LR,Train Loss,Global Val Acc,AffectNet Acc,EmoSet-118k Acc,ExpWFormated Acc,FERPlus Acc,MMAFEDB Acc,NHFI Acc,RAF-DB Acc,jaffeFormated Acc
221,5.67908363781379e-05,0.8728,81.01,70.16,80.02,76.96,96.91,75.05,69.38,86.69,94.12
222,5.499688357428993e-05,0.8656,80.99,70.52,79.65,76.99,96.96,75.07,69.17,86.36,94.12
223,5.323451358103527e-05,0.8689,80.95,70.39,79.46,76.96,96.94,75.11,69.79,86.03,94.12
224,5.1504004697025924e-05,0.8611,81.06,70.61,79.85,76.88,96.94,75.19,69.79,86.36,94.12
225,4.9805630189675293e-05,0.8486,81.04,70.69,79.74,76.99,96.89,75.12,70.00,86.36,94.12
226,4.81396582520063e-05,0.8569,81.02,70.61,79.76,76.78,96.87,75.08,70.42,86.78,94.12
227,4.650635196030052e-05,0.8754,81.03,70.56,79.71,76.81,96.89,75.16,70.21,86.53,94.12
228,4.4905969232555235e-05,0.8583,81.02,70.56,79.68,76.85,96.85,75.21,70.42,86.20,94.12
229,4.33387627877553e-05,0.8593,81.03,70.43,79.71,76.88,96.87,75.22,70.42,86.28,94.12
230,4.18049801059662e-05,0.8735,81.02,70.25,79.60,76.81,96.85,75.33,69.79,86.53,94.12
231,4.030486338925342e-05,0.8560,81.06,70.34,79.85,76.81,96.85,75.34,70.00,86.28,94.12
232,3.883864952343642e-05,0.8674,81.09,70.25,80.07,76.99,96.96,75.26,69.17,86.36,94.12
233,3.74065700406816e-05,0.8584,80.98,70.12,79.99,76.63,96.94,75.14,69.17,86.28,94.12
234,3.6008851082940375e-05,0.8527,80.96,70.16,80.02,76.74,96.91,75.06,69.58,86.12,94.12
235,3.4645713366239084e-05,0.8577,80.99,70.30,80.02,76.63,96.94,75.07,69.58,86.36,94.12
236,3.331737214582526e-05,0.8434,81.04,70.61,80.41,76.53,96.96,75.04,69.38,86.20,94.12
237,3.202403718217606e-05,0.8477,80.96,70.08,80.33,76.46,97.01,75.03,69.17,86.03,82.35
